UtcTime,PlusXRedDeg,MinusXRedDeg,PlusYGreenDeg,MinusYGreenDeg,PlusZBlueDeg,MinusZBlueDeg
05-Aug-2026 22:46:38,67.8167591509562,112.183240849044,150.282146321661,29.7178536783392,108.737304953295,71.2626950467052
05-Aug-2026 22:46:47,68.3646486331276,111.635351366872,151.011474375094,28.988525624906,108.332740651086,71.6672593489135
05-Aug-2026 22:46:55,68.8499155177212,111.150084482279,151.680694793249,28.3193052067508,107.937915424634,72.0620845753664
05-Aug-2026 22:47:03,69.3442523733544,110.655747626646,152.359653582552,27.6403464174481,107.536288697285,72.4637113027151
05-Aug-2026 22:47:11,69.8421028736398,110.15789712636,153.046774905109,26.9532250948908,107.123694939628,72.8763050603715
05-Aug-2026 22:47:20,70.4178092187524,109.582190781248,153.816394337876,26.1836056621236,106.67847588161,73.3215241183904
05-Aug-2026 22:47:36,30.38264592925,149.61735407075,119.401799885681,60.5982001143195,96.9858508091586,83.0141491908414
05-Aug-2026 22:47:44,16.2393327572906,163.760667242709,105.918087857335,74.0819121426647,93.1314916893585,86.8685083106415
05-Aug-2026 22:47:53,8.5991526760791,171.400847323921,98.5441960244297,81.4558039755703,90.9634488005238,89.0365511994761
05-Aug-2026 22:48:01,4.83371401378785,175.166285986212,94.8326576300185,85.1673423699815,89.8991881147595,90.1008118852405
05-Aug-2026 22:48:09,3.03414854812458,176.965851451875,92.9662531718772,87.0337468281228,89.3622916557564,90.6377083442436
05-Aug-2026 22:48:26,2.04770708386608,177.952292916134,91.7732325384051,88.2267674615949,88.9762417204802,91.0237582795198
05-Aug-2026 22:48:34,1.88855178738693,178.111448212613,91.5607360435234,88.4392639564766,88.9369047541278,91.0630952458722
05-Aug-2026 22:48:43,1.87480758513811,178.125192414862,91.5197768939375,88.4802231060625,88.9024498366883,91.0975501633117
05-Aug-2026 22:48:51,1.83090669648159,178.169093303518,91.4772838382417,88.5227161617583,88.918642840261,91.081357159739
05-Aug-2026 22:48:59,1.79582025120578,178.204179748794,91.450283044182,88.5497169558179,88.9411466808753,91.0588533191247
05-Aug-2026 22:49:16,1.81220448809553,178.187795511904,91.4651220428847,88.5348779571153,88.9336948720802,91.0663051279198
05-Aug-2026 22:49:24,1.82272925274003,178.17727074726,91.4798583210485,88.5201416789515,88.9361120072874,91.0638879927126
05-Aug-2026 22:49:32,1.79797346725126,178.202026532749,91.4664157197976,88.5335842802024,88.9598745912995,91.0401254087005
05-Aug-2026 22:49:40,1.79802891768821,178.201971082312,91.468333923438,88.531666076562,88.9624876102105,91.0375123897895
05-Aug-2026 22:49:49,1.84570547366864,178.154294526331,91.5132781320302,88.4867218679698,88.943544276415,91.056455723585
05-Aug-2026 22:49:57,1.84255278604662,178.157447213953,91.5161807136371,88.4838192863629,88.9532502402614,91.0467497597386
05-Aug-2026 22:50:05,1.81884129094023,178.18115870906,91.4931787042787,88.5068212957213,88.9616779779659,91.0383220220341
05-Aug-2026 22:50:14,1.85536921482441,178.144630785176,91.5216767908303,88.4783232091697,88.9386966690689,91.061303330931
05-Aug-2026 22:50:22,1.85760709970162,178.142392900298,91.5134286588808,88.4865713411192,88.9231071826558,91.0768928173442
05-Aug-2026 22:50:38,1.79787510224036,178.20212489776,91.459237362558,88.540762637442,88.9499979864676,91.0500020135324
05-Aug-2026 22:50:47,1.84021305099071,178.159786949009,91.4831045578227,88.5168954421773,88.9108467512304,91.0891532487696
05-Aug-2026 22:50:55,1.82368358049482,178.176316419505,91.4637935091605,88.5362064908395,88.9125187244872,91.0874812755127
05-Aug-2026 22:51:03,1.78789533946456,178.212104660535,91.433886453727,88.566113546273,88.9322626025466,91.0677373974533
05-Aug-2026 22:51:12,1.84710976871307,178.152890231287,91.4747392627862,88.5252607372138,88.8880592379679,91.1119407620321
05-Aug-2026 22:51:21,1.78278732558867,178.217212674411,91.4143398578286,88.5856601421714,88.914875644936,91.085124355064
05-Aug-2026 22:51:28,1.78364555941927,178.216354440581,91.4143639122315,88.5856360877685,88.9134980790649,91.0865019209351
05-Aug-2026 22:51:36,1.75176470161768,178.248235298382,91.3919866976543,88.6080133023457,88.9366997006734,91.0633002993266
05-Aug-2026 22:51:45,1.79514578283371,178.204854217166,91.416087775348,88.583912224652,88.8969369618572,91.1030630381428
05-Aug-2026 22:51:53,1.77189194790824,178.228108052092,91.3886518076848,88.6113481923152,88.8996487499369,91.1003512500631
05-Aug-2026 22:52:10,1.77561387729349,178.224386122707,91.3771304268601,88.6228695731399,88.8793606530072,91.1206393469927
05-Aug-2026 22:52:18,1.72034156272945,178.279658437271,91.3162295907767,88.6837704092233,88.8924427791937,91.1075572208063
05-Aug-2026 22:52:26,1.70257384322141,178.297426156779,91.286328912743,88.713671087257,88.8847881196686,91.1152118803314
05-Aug-2026 22:52:34,1.68448275672641,178.315517243274,91.2631248250824,88.7368751749176,88.88573100889,91.1142689911099
05-Aug-2026 22:52:43,1.70841922336722,178.291580776633,91.2580839360094,88.7419160639906,88.8443652778017,91.1556347221983
05-Aug-2026 22:52:51,1.67880415220811,178.321195847792,91.2279578045307,88.7720421954693,88.8554032698836,91.1445967301163
05-Aug-2026 22:52:59,1.62916751712265,178.370832482877,91.183754873289,88.816245126711,88.8808241306563,91.1191758693437
05-Aug-2026 22:53:08,1.67814749906164,178.321852500938,91.1949194492098,88.8050805507902,88.8218896797546,91.1781103202454
05-Aug-2026 22:53:22,1.66043138392657,178.339568616073,91.1556057382299,88.8443942617701,88.8078497670179,91.1921502329821
05-Aug-2026 22:53:24,1.62071256362,178.37928743638,91.1315509745646,88.8684490254354,88.839848502649,91.160151497351
05-Aug-2026 22:53:41,32.863302561833,147.136697438167,122.339377828309,57.6606221716913,84.7725508389413,95.2274491610587
05-Aug-2026 22:53:49,62.4143890511191,117.585610948881,151.345912245724,28.6540877542756,82.8475151593448,97.1524848406552
05-Aug-2026 22:53:57,80.6971898242062,99.3028101757938,167.965216349539,12.0347836504611,82.4325546786038,97.5674453213962
05-Aug-2026 22:54:06,90.5410622090951,89.4589377909049,172.224912541537,7.77508745846342,82.2439939789931,97.7560060210069
05-Aug-2026 22:54:14,95.5585391592564,84.4414608407436,170.273306755022,9.72669324497767,82.0433318318885,97.9566681681115
05-Aug-2026 22:54:31,99.8486209731937,80.1513790268063,166.838759359436,13.1612406405645,81.3562584886582,98.6437415113418
05-Aug-2026 22:54:39,100.79163461229,79.2083653877096,165.855300515105,14.144699484895,80.9652626037581,99.0347373962419
05-Aug-2026 22:54:47,101.491296325601,78.5087036743989,165.034729835771,14.9652701642293,80.5431072433401,99.4568927566599
05-Aug-2026 22:54:56,102.099604539698,77.9003954603023,164.244515837393,15.7554841626066,80.0606289753204,99.9393710246796
