UtcTime,AngleDeg,SteadyErrorDeg,IsNearSteady,RangeKm
05-Aug-2026 22:46:38,67.8167591509562,65.9967591509562,0,8068.71013188454
05-Aug-2026 22:46:47,68.3646486331276,66.5446486331276,0,8030.26119980159
05-Aug-2026 22:46:55,68.8499155177212,67.0299155177212,0,7997.15110455749
05-Aug-2026 22:47:03,69.3442523733544,67.5242523733544,0,7965.06873845642
05-Aug-2026 22:47:11,69.8421028736398,68.0221028736398,0,7934.03650041675
05-Aug-2026 22:47:20,70.4178092187524,68.5978092187524,0,7900.40780541833
05-Aug-2026 22:47:36,30.38264592925,28.56264592925,0,7844.06832027762
05-Aug-2026 22:47:44,16.2393327572906,14.4193327572906,0,7817.59474685679
05-Aug-2026 22:47:53,8.5991526760791,6.77915267607909,0,7789.19633525829
05-Aug-2026 22:48:01,4.83371401378785,3.01371401378785,0,7765.2049827096
05-Aug-2026 22:48:09,3.03414854812458,1.21414854812458,0,7742.41084305313
05-Aug-2026 22:48:26,2.04770708386608,0.227707083866079,0,7698.02799184996
05-Aug-2026 22:48:34,1.88855178738693,0.0685517873869343,1,7679.0853209391
05-Aug-2026 22:48:43,1.87480758513811,0.0548075851381122,1,7659.2874556831
05-Aug-2026 22:48:51,1.83090669648159,0.0109066964815878,1,7643.04960623107
05-Aug-2026 22:48:59,1.79582025120578,0.0241797487942172,1,7628.10576179297
05-Aug-2026 22:49:16,1.81220448809553,0.00779551190446548,1,7600.70113022557
05-Aug-2026 22:49:24,1.82272925274003,0.00272925274003177,1,7589.87527306812
05-Aug-2026 22:49:32,1.79797346725126,0.0220265327487423,1,7580.38731403223
05-Aug-2026 22:49:40,1.79802891768821,0.0219710823117891,1,7572.24519984431
05-Aug-2026 22:49:49,1.84570547366864,0.0257054736686428,1,7564.70250818462
05-Aug-2026 22:49:57,1.84255278604662,0.0225527860466246,1,7559.44165402163
05-Aug-2026 22:50:05,1.81884129094023,0.00115870905976911,1,7555.54430622925
05-Aug-2026 22:50:14,1.85536921482441,0.0353692148244142,1,7552.79367159804
05-Aug-2026 22:50:22,1.85760709970162,0.0376070997016171,1,7551.80329349785
05-Aug-2026 22:50:38,1.79787510224036,0.02212489775964,1,7553.93211051113
05-Aug-2026 22:50:47,1.84021305099071,0.0202130509907099,1,7557.53521682855
05-Aug-2026 22:50:55,1.82368358049482,0.00368358049482409,1,7562.18848584754
05-Aug-2026 22:51:03,1.78789533946456,0.0321046605354407,1,7568.20284980034
05-Aug-2026 22:51:12,1.84710976871307,0.0271097687130657,1,7576.58954433231
05-Aug-2026 22:51:21,1.78278732558867,0.0372126744113297,1,7586.68341189601
05-Aug-2026 22:51:28,1.78364555941927,0.036354440580727,1,7595.70764802604
05-Aug-2026 22:51:36,1.75176470161768,0.0682352983823151,1,7607.27026481629
05-Aug-2026 22:51:45,1.79514578283371,0.0248542171662907,1,7621.85935150825
05-Aug-2026 22:51:53,1.77189194790824,0.0481080520917556,1,7636.22100787514
05-Aug-2026 22:52:10,1.77561387729349,0.0443861227065065,1,7671.0377884047
05-Aug-2026 22:52:18,1.72034156272945,0.0996584372705507,1,7689.41626900328
05-Aug-2026 22:52:26,1.70257384322141,0.117426156778591,0,7709.05106015077
05-Aug-2026 22:52:34,1.68448275672641,0.135517243273592,0,7729.9265518427
05-Aug-2026 22:52:43,1.70841922336722,0.11158077663278,0,7754.8740054314
05-Aug-2026 22:52:51,1.67880415220811,0.14119584779189,0,7778.33042147383
05-Aug-2026 22:52:59,1.62916751712265,0.190832482877351,0,7802.9735939809
05-Aug-2026 22:53:08,1.67814749906164,0.141852500938357,0,7832.09230747166
05-Aug-2026 22:53:22,1.66043138392657,0.159568616073435,0,7880.26061406908
05-Aug-2026 22:53:24,1.62071256362,0.199287436380001,0,7887.42200383717
05-Aug-2026 22:53:41,32.863302561833,31.043302561833,0,7951.04941526691
05-Aug-2026 22:53:49,62.4143890511191,60.5943890511191,0,7982.6600078552
05-Aug-2026 22:53:57,80.6971898242062,78.8771898242062,0,8015.30791345557
05-Aug-2026 22:54:06,90.5410622090951,88.7210622090951,0,8053.24853290804
05-Aug-2026 22:54:14,95.5585391592564,93.7385391592564,0,8088.02515040254
05-Aug-2026 22:54:31,99.8486209731937,98.0286209731937,0,8165.10162220342
05-Aug-2026 22:54:39,100.79163461229,98.9716346122904,0,8202.81650425656
05-Aug-2026 22:54:47,101.491296325601,99.6712963256011,0,8241.42222491677
05-Aug-2026 22:54:56,102.099604539698,100.279604539698,0,8285.88826134224
