UtcTime,Bk1RedAxisToBk2AngleDeg,MarginToThresholdDeg,IsPointing
05-Aug-2026 22:46:38,59.9807513359333,49.9807513359333,0
05-Aug-2026 22:46:47,60.6099498803031,50.6099498803031,0
05-Aug-2026 22:46:55,61.1761971421485,51.1761971421485,0
05-Aug-2026 22:47:03,61.7511570317951,51.7511570317951,0
05-Aug-2026 22:47:11,62.3256497547096,52.3256497547096,0
05-Aug-2026 22:47:20,62.9792103423218,52.9792103423218,0
05-Aug-2026 22:47:36,35.5107633062313,25.5107633062313,0
05-Aug-2026 22:47:44,24.3544935316218,14.3544935316218,0
05-Aug-2026 22:47:53,18.3293583944741,8.32935839447406,0
05-Aug-2026 22:48:01,15.3565219500413,5.35652195004126,0
05-Aug-2026 22:48:09,13.926368781138,3.92636878113801,0
05-Aug-2026 22:48:26,13.1917838546876,3.19178385468764,0
05-Aug-2026 22:48:34,13.1407771153573,3.14077711535725,0
05-Aug-2026 22:48:43,13.2754763329466,3.27547633294657,0
05-Aug-2026 22:48:51,13.3914358702696,3.39143587026961,0
05-Aug-2026 22:48:59,13.5300236382264,3.53002363822641,0
05-Aug-2026 22:49:16,13.9024242584496,3.90242425844962,0
05-Aug-2026 22:49:24,14.0944474897209,4.09444748972089,0
05-Aug-2026 22:49:32,14.2780446448496,4.27804464484963,0
05-Aug-2026 22:49:40,14.4806992833677,4.48069928336767,0
05-Aug-2026 22:49:49,14.7424831949047,4.7424831949047,0
05-Aug-2026 22:49:57,14.9619990833454,4.96199908334541,0
05-Aug-2026 22:50:05,15.1584722877467,5.15847228774666,0
05-Aug-2026 22:50:14,15.4498240285132,5.44982402851322,0
05-Aug-2026 22:50:22,15.682006916858,5.68200691685802,0
05-Aug-2026 22:50:38,16.1550453155754,6.15504531557545,0
05-Aug-2026 22:50:47,16.4788204741782,6.47882047417818,0
05-Aug-2026 22:50:55,16.7528799029676,6.75287990296765,0
05-Aug-2026 22:51:03,17.0324200233297,7.03242002332969,0
05-Aug-2026 22:51:12,17.397319778965,7.39731977896504,0
05-Aug-2026 22:51:21,17.7214244642103,7.72142446421027,0
05-Aug-2026 22:51:28,18.0160356959983,8.01603569599832,0
05-Aug-2026 22:51:36,18.3476702184861,8.34767021848614,0
05-Aug-2026 22:51:45,18.751544848334,8.75154484833405,0
05-Aug-2026 22:51:53,19.108321479289,9.108321479289,0
05-Aug-2026 22:52:10,19.9043516557298,9.90435165572984,0
05-Aug-2026 22:52:18,20.2884909255015,10.2884909255015,0
05-Aug-2026 22:52:26,20.6959231449192,10.6959231449192,0
05-Aug-2026 22:52:34,21.1210999957722,11.1210999957722,0
05-Aug-2026 22:52:43,21.6089464064321,11.6089464064321,0
05-Aug-2026 22:52:51,22.0689471455495,12.0689471455495,0
05-Aug-2026 22:52:59,22.5377103570263,12.5377103570263,0
05-Aug-2026 22:53:08,23.0650194745034,13.0650194745034,0
05-Aug-2026 22:53:22,23.9591206961335,13.9591206961335,0
05-Aug-2026 22:53:24,24.080181114457,14.080181114457,0
05-Aug-2026 22:53:41,45.6849900925727,35.6849900925727,0
05-Aug-2026 22:53:49,67.306855529647,57.306855529647,0
05-Aug-2026 22:53:57,80.9105484650971,70.9105484650971,0
05-Aug-2026 22:54:06,88.2454288298222,78.2454288298222,0
05-Aug-2026 22:54:14,92.025363746029,82.025363746029,0
05-Aug-2026 22:54:31,95.4531006366959,85.4531006366959,0
05-Aug-2026 22:54:39,96.3085500587849,86.3085500587849,0
05-Aug-2026 22:54:47,96.9855683504622,86.9855683504622,0
05-Aug-2026 22:54:56,97.6115626603964,87.6115626603964,0
