UtcTime,Bk2RedAxisToBk1BodyAngleDeg,SteadyErrorDeg,IsNearSteady
05-Aug-2026 22:46:38,67.8167591509562,65.9967591509562,0
05-Aug-2026 22:46:47,68.3646486331276,66.5446486331276,0
05-Aug-2026 22:46:55,68.8499155177212,67.0299155177212,0
05-Aug-2026 22:47:03,69.3442523733544,67.5242523733544,0
05-Aug-2026 22:47:11,69.8421028736398,68.0221028736398,0
05-Aug-2026 22:47:20,70.4178092187524,68.5978092187524,0
05-Aug-2026 22:47:36,30.38264592925,28.56264592925,0
05-Aug-2026 22:47:44,16.2393327572906,14.4193327572906,0
05-Aug-2026 22:47:53,8.5991526760791,6.77915267607909,0
05-Aug-2026 22:48:01,4.83371401378785,3.01371401378785,0
05-Aug-2026 22:48:09,3.03414854812458,1.21414854812458,0
05-Aug-2026 22:48:26,2.04770708386608,0.227707083866079,0
05-Aug-2026 22:48:34,1.88855178738693,0.0685517873869343,1
05-Aug-2026 22:48:43,1.87480758513811,0.0548075851381122,1
05-Aug-2026 22:48:51,1.83090669648159,0.0109066964815878,1
05-Aug-2026 22:48:59,1.79582025120578,0.0241797487942172,1
05-Aug-2026 22:49:16,1.81220448809553,0.00779551190446548,1
05-Aug-2026 22:49:24,1.82272925274003,0.00272925274003177,1
05-Aug-2026 22:49:32,1.79797346725126,0.0220265327487423,1
05-Aug-2026 22:49:40,1.79802891768821,0.0219710823117891,1
05-Aug-2026 22:49:49,1.84570547366864,0.0257054736686428,1
05-Aug-2026 22:49:57,1.84255278604662,0.0225527860466246,1
05-Aug-2026 22:50:05,1.81884129094023,0.00115870905976911,1
05-Aug-2026 22:50:14,1.85536921482441,0.0353692148244142,1
05-Aug-2026 22:50:22,1.85760709970162,0.0376070997016171,1
05-Aug-2026 22:50:38,1.79787510224036,0.02212489775964,1
05-Aug-2026 22:50:47,1.84021305099071,0.0202130509907099,1
05-Aug-2026 22:50:55,1.82368358049482,0.00368358049482409,1
05-Aug-2026 22:51:03,1.78789533946456,0.0321046605354407,1
05-Aug-2026 22:51:12,1.84710976871307,0.0271097687130657,1
05-Aug-2026 22:51:21,1.78278732558867,0.0372126744113297,1
05-Aug-2026 22:51:28,1.78364555941927,0.036354440580727,1
05-Aug-2026 22:51:36,1.75176470161768,0.0682352983823151,1
05-Aug-2026 22:51:45,1.79514578283371,0.0248542171662907,1
05-Aug-2026 22:51:53,1.77189194790824,0.0481080520917556,1
05-Aug-2026 22:52:10,1.77561387729349,0.0443861227065065,1
05-Aug-2026 22:52:18,1.72034156272945,0.0996584372705507,1
05-Aug-2026 22:52:26,1.70257384322141,0.117426156778591,0
05-Aug-2026 22:52:34,1.68448275672641,0.135517243273592,0
05-Aug-2026 22:52:43,1.70841922336722,0.11158077663278,0
05-Aug-2026 22:52:51,1.67880415220811,0.14119584779189,0
05-Aug-2026 22:52:59,1.62916751712265,0.190832482877351,0
05-Aug-2026 22:53:08,1.67814749906164,0.141852500938357,0
05-Aug-2026 22:53:22,1.66043138392657,0.159568616073435,0
05-Aug-2026 22:53:24,1.62071256362,0.199287436380001,0
05-Aug-2026 22:53:41,32.863302561833,31.043302561833,0
05-Aug-2026 22:53:49,62.4143890511191,60.5943890511191,0
05-Aug-2026 22:53:57,80.6971898242062,78.8771898242062,0
05-Aug-2026 22:54:06,90.5410622090951,88.7210622090951,0
05-Aug-2026 22:54:14,95.5585391592564,93.7385391592564,0
05-Aug-2026 22:54:31,99.8486209731937,98.0286209731937,0
05-Aug-2026 22:54:39,100.79163461229,98.9716346122904,0
05-Aug-2026 22:54:47,101.491296325601,99.6712963256011,0
05-Aug-2026 22:54:56,102.099604539698,100.279604539698,0
